,,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
pipe3,SMOTE-Tomek,4,RandomForestClassifier, RandomForestClassifier+SMOTETomek ,SMOTETomek,0.7872,0.8773,0.8688,0.9989,0.8222,0.7551
pipe3,SMOTE-Tomek,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.7789,0.8773,0.8688,0.9989,0.8043,0.7551
pipe3,SMOTE-Tomek,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.7789,0.8773,0.8688,0.9989,0.8043,0.7551
pipe4,No_sampling,0,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.8298,0.8976,0.8919,0.9983,0.8667,0.7959
pipe4,No_sampling,1,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.5507,0.8851,0.8783,0.9935,0.42700000000000005,0.7755
pipe4,No_sampling,2,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.8276,0.8672,0.8571,0.9984,0.9474,0.7347
pipe4,No_sampling,3,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.2961,0.9481,0.9476,0.9775,0.1765,0.9184
pipe4,No_sampling,4,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.8736,0.8878,0.8806,0.9988,1.0,0.7755
pipe4,No_sampling,5,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.299,0.9483,0.9478,0.9779,0.1786,0.9184
pipe4,No_sampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.3061,0.9486,0.9481,0.9786,0.1837,0.9184
pipe4,SMOTE,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5985,0.9159,0.9125,0.9942,0.4659,0.8367
pipe4,SMOTE,1,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.5926,0.9057,0.9013,0.9942,0.4651,0.8163
pipe4,SMOTE,2,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.3151,0.9590000000000001,0.9588,0.9790000000000001,0.1893,0.9388
pipe4,SMOTE,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.78,0.8973,0.8916,0.9977,0.7647,0.7959
pipe4,SMOTE,4,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.8913,0.9183,0.9146,0.9990000000000001,0.9535,0.8367
pipe4,SMOTE,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.9247,0.9387,0.9367,0.9993,0.9773,0.8776
pipe4,SMOTE,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.9247,0.9387,0.9367,0.9993,0.9773,0.8776
pipe4,RandOverSampling,0,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.8421,0.9078,0.9032,0.9984,0.8696,0.8163
pipe4,RandOverSampling,1,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.8163,0.9077,0.9031,0.9981,0.8163,0.8163
pipe4,RandOverSampling,2,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.3297,0.9597,0.9595,0.9804,0.2,0.9388
pipe4,RandOverSampling,3,BalancedBaggingClassifier, BalancedBaggingClassifier+RandomOverSampler ,RandomOverSampler,0.8667,0.8979,0.892,0.9987,0.9512,0.7959
pipe4,RandOverSampling,4,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,0.9990000000000001,1.0,0.7959
pipe4,RandOverSampling,5,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,0.9990000000000001,1.0,0.7959
pipe4,RandOverSampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,0.9990000000000001,1.0,0.7959
pipe4,BorderlineSmote,0,DecisionTreeClassifier, DecisionTreeClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7917,0.8873,0.8802,0.9979,0.8085,0.7755
pipe4,BorderlineSmote,1,RUSBoostClassifier, RUSBoostClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7525,0.887,0.88,0.9974,0.7308,0.7755
pipe4,BorderlineSmote,2,LogisticRegression, LogisticRegression+BorderlineSMOTE ,BorderlineSMOTE,0.3132,0.9391,0.9382,0.9797,0.1897,0.898
pipe4,BorderlineSmote,3,BalancedBaggingClassifier, BalancedBaggingClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8632,0.9181,0.9145,0.9986,0.8913,0.8367
pipe4,BorderlineSmote,4,RandomForestClassifier, RandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8989,0.9082,0.9035,0.9991,1.0,0.8163
pipe4,BorderlineSmote,5,EasyEnsembleClassifier, EasyEnsembleClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.9111,0.9184,0.9147,0.9992,1.0,0.8367
pipe4,BorderlineSmote,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8889,0.9081,0.9035,0.9990000000000001,0.9756,0.8163
pipe4,SVM-Smote,0,DecisionTreeClassifier, DecisionTreeClassifier+SVMSMOTE ,SVMSMOTE,0.82,0.9178,0.9142,0.9981,0.8039,0.8367
pipe4,SVM-Smote,1,RUSBoostClassifier, RUSBoostClassifier+SVMSMOTE ,SVMSMOTE,0.7879,0.8974,0.8916,0.9978,0.78,0.7959
pipe4,SVM-Smote,2,LogisticRegression, LogisticRegression+SVMSMOTE ,SVMSMOTE,0.3206,0.9195,0.9174,0.9813,0.1972,0.8571
pipe4,SVM-Smote,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SVMSMOTE ,SVMSMOTE,0.8632,0.9181,0.9145,0.9986,0.8913,0.8367
pipe4,SVM-Smote,4,RandomForestClassifier, RandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.9231,0.9286,0.9258,0.9993,1.0,0.8571
pipe4,SVM-Smote,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SVMSMOTE ,SVMSMOTE,0.9011,0.9183,0.9147,0.9991,0.9762,0.8367
pipe4,SVM-Smote,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.9129999999999999,0.9285,0.9258,0.9992,0.9767,0.8571
pipe4,SMOTE-EN,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.5417,0.895,0.8895,0.9931,0.4105,0.7959
pipe4,SMOTE-EN,1,RUSBoostClassifier, RUSBoostClassifier+SMOTEENN ,SMOTEENN,0.7573,0.8972,0.8914,0.9974,0.7222,0.7959
pipe4,SMOTE-EN,2,LogisticRegression, LogisticRegression+SMOTEENN ,SMOTEENN,0.2761,0.9469,0.9465,0.9752,0.1625,0.9184
pipe4,SMOTE-EN,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTEENN ,SMOTEENN,0.7885,0.9176,0.9141,0.9977,0.7455,0.8367
pipe4,SMOTE-EN,4,RandomForestClassifier, RandomForestClassifier+SMOTEENN ,SMOTEENN,0.8913,0.9183,0.9146,0.9990000000000001,0.9535,0.8367
pipe4,SMOTE-EN,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTEENN ,SMOTEENN,0.9053,0.9386,0.9366,0.9991,0.9348,0.8776
pipe4,SMOTE-EN,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTEENN ,SMOTEENN,0.9149,0.9387,0.9367,0.9992,0.9556,0.8776
pipe4,SMOTE-Tomek,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.5985,0.9159,0.9125,0.9942,0.4659,0.8367
pipe4,SMOTE-Tomek,1,RUSBoostClassifier, RUSBoostClassifier+SMOTETomek ,SMOTETomek,0.5926,0.9057,0.9013,0.9942,0.4651,0.8163
pipe4,SMOTE-Tomek,2,LogisticRegression, LogisticRegression+SMOTETomek ,SMOTETomek,0.3151,0.9590000000000001,0.9588,0.9790000000000001,0.1893,0.9388
pipe4,SMOTE-Tomek,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTETomek ,SMOTETomek,0.78,0.8973,0.8916,0.9977,0.7647,0.7959
pipe4,SMOTE-Tomek,4,RandomForestClassifier, RandomForestClassifier+SMOTETomek ,SMOTETomek,0.8913,0.9183,0.9146,0.9990000000000001,0.9535,0.8367
pipe4,SMOTE-Tomek,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.9247,0.9387,0.9367,0.9993,0.9773,0.8776
pipe4,SMOTE-Tomek,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.9247,0.9387,0.9367,0.9993,0.9773,0.8776
