,,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,ranked-f1,ranked-roc,ranked-gmean,combined-rank(divided by 3),combined-rank(undivided)
pipe4,No_sampling,2,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.8276,0.8672,0.8571,104.0,30.0,31.0,55.0,165.0
pipe4,BorderlineSmote,1,RUSBoostClassifier, RUSBoostClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7525,0.887,0.88,68.0,47.0,47.0,54.0,162.0
pipe3,No_sampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.1758,0.8985,0.8947,15.0,69.0,69.0,51.0,153.0
pipe3,RandOverSampling,5,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.7912,0.8672,0.857,92.0,30.0,29.0,50.333333333333336,151.0
pipe3,SVM-Smote,4,RandomForestClassifier, RandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.7912,0.8672,0.857,92.0,30.0,29.0,50.333333333333336,151.0
pipe3,RandOverSampling,2,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.1643,0.8977,0.894,12.0,63.0,68.0,47.666666666666664,143.0
pipe4,SMOTE-EN,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.5417,0.895,0.8895,33.0,53.0,53.0,46.333333333333336,139.0
pipe4,No_sampling,1,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.5507,0.8851,0.8783,43.0,46.0,46.0,45.0,135.0
pipe3,SMOTE-Tomek,2,LogisticRegression, LogisticRegression+SMOTETomek ,SMOTETomek,0.1572,0.8971,0.8934,11.0,56.0,67.0,44.666666666666664,134.0
pipe3,SMOTE,2,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.1572,0.8971,0.8934,11.0,56.0,67.0,44.666666666666664,134.0
pipe3,No_sampling,4,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.7742,0.8671,0.857,77.0,27.0,29.0,44.333333333333336,133.0
pipe3,RandOverSampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.7742,0.8671,0.857,77.0,27.0,29.0,44.333333333333336,133.0
pipe3,SMOTE-EN,2,LogisticRegression, LogisticRegression+SMOTEENN ,SMOTEENN,0.1527,0.8967,0.8931,9.0,54.0,65.0,42.666666666666664,128.0
pipe3,SVM-Smote,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SVMSMOTE ,SVMSMOTE,0.7659999999999999,0.8671,0.8569,75.0,27.0,25.0,42.333333333333336,127.0
pipe3,SMOTE-EN,4,RandomForestClassifier, RandomForestClassifier+SMOTEENN ,SMOTEENN,0.7659999999999999,0.8671,0.8569,75.0,27.0,25.0,42.333333333333336,127.0
pipe3,SVM-Smote,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.7579,0.8671,0.8569,73.0,27.0,25.0,41.666666666666664,125.0
pipe2,No_sampling,0,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.7048,0.8772,0.8687,56.0,34.0,33.0,41.0,123.0
pipe3,SVM-Smote,2,LogisticRegression, LogisticRegression+SVMSMOTE ,SVMSMOTE,0.2438,0.8918,0.8867,19.0,52.0,52.0,41.0,123.0
pipe3,BorderlineSmote,2,LogisticRegression, LogisticRegression+BorderlineSMOTE ,BorderlineSMOTE,0.2261,0.8912,0.8861,18.0,51.0,51.0,40.0,120.0
pipe3,SMOTE-EN,5,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTEENN ,SMOTEENN,0.75,0.8671,0.8569,66.0,27.0,25.0,39.333333333333336,118.0
pipe3,RandOverSampling,3,BalancedBaggingClassifier, BalancedBaggingClassifier+RandomOverSampler ,RandomOverSampler,0.75,0.8671,0.8569,66.0,27.0,25.0,39.333333333333336,118.0
pipe3,SMOTE-EN,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTEENN ,SMOTEENN,0.6789,0.8769,0.8684,51.0,33.0,32.0,38.666666666666664,116.0
pipe3,No_sampling,3,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.1707,0.8882,0.8834,14.0,50.0,50.0,38.0,114.0
pipe3,RandOverSampling,0,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.7273,0.867,0.8568,63.0,20.0,20.0,34.333333333333336,103.0
pipe3,RandOverSampling,4,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.7816,0.8468,0.8329,85.0,8.0,8.0,33.666666666666664,101.0
pipe3,SMOTE,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.7129,0.8669,0.8568,59.0,19.0,20.0,32.666666666666664,98.0
pipe3,SMOTE-Tomek,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTETomek ,SMOTETomek,0.7129,0.8669,0.8568,59.0,19.0,20.0,32.666666666666664,98.0
pipe3,SVM-Smote,0,DecisionTreeClassifier, DecisionTreeClassifier+SVMSMOTE ,SVMSMOTE,0.6923,0.8668,0.8567,55.0,17.0,17.0,29.666666666666668,89.0
pipe3,SVM-Smote,1,RUSBoostClassifier, RUSBoostClassifier+SVMSMOTE ,SVMSMOTE,0.6923,0.8668,0.8567,55.0,17.0,17.0,29.666666666666668,89.0
pipe3,No_sampling,5,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.131,0.8747,0.8691,7.0,32.0,45.0,28.0,84.0
pipe3,RandOverSampling,1,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.7216,0.8568,0.8449,62.0,10.0,10.0,27.333333333333332,82.0
pipe3,SMOTE,1,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.5496,0.8661,0.8561,42.0,15.0,15.0,24.0,72.0
pipe3,SMOTE-Tomek,1,RUSBoostClassifier, RUSBoostClassifier+SMOTETomek ,SMOTETomek,0.5496,0.8661,0.8561,42.0,15.0,15.0,24.0,72.0
pipe3,No_sampling,2,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.7209,0.8162,0.7953,61.0,4.0,4.0,23.0,69.0
pipe3,SMOTE,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5455,0.8661,0.8561,38.0,15.0,15.0,22.666666666666668,68.0
pipe3,SMOTE-Tomek,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.5455,0.8661,0.8561,38.0,15.0,15.0,22.666666666666668,68.0
pipe3,No_sampling,0,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.68,0.8465,0.8326,52.0,7.0,7.0,22.0,66.0
pipe3,BorderlineSmote,1,RUSBoostClassifier, RUSBoostClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.6126,0.8462,0.8324,49.0,6.0,6.0,20.333333333333332,61.0
pipe3,BorderlineSmote,3,BalancedBaggingClassifier, BalancedBaggingClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.6598,0.8261,0.8078,50.0,5.0,5.0,20.0,60.0
pipe2,No_sampling,2,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.6829,0.7856,0.7559,53.0,2.0,2.0,19.0,57.0
pipe3,SMOTE-EN,1,RUSBoostClassifier, RUSBoostClassifier+SMOTEENN ,SMOTEENN,0.4966,0.8658,0.8558,30.0,11.0,11.0,17.333333333333332,52.0
pipe3,SMOTE-EN,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.5072,0.8557,0.8439,32.0,9.0,9.0,16.666666666666668,50.0
